gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error
75,3.0,0.274929780069308,0.06569248891876356,8.914072351505816,0.18544830920313604
75,3.0,0.280693850193777,0.16445786557440556,9.100961302261593,0.46426058150491184
75,3.0,0.3283843077080042,0.15514022332115474,10.647233185398685,0.43795710252176867
75,3.0,0.2813242006595442,0.21376371039729491,9.121399210651283,0.6034497902977811
75,3.0,0.30148329343975844,0.1388769133192298,9.775019242421749,0.39204617127918673
75,3.0,0.2157657318656807,1.2208942609727131,6.995791232006286,3.446555004076461
100,4.0,0.3054310652670327,0.13089690613782068,9.903018194323893,0.36951880378895124
100,4.0,0.2922745196481955,0.6483466967093889,9.47644236280562,1.8302670618992534
100,4.0,0.2987376322763682,0.9074975955172349,9.68599642991664,2.561843788605692
100,4.0,0.3359666964837249,0.5536548322524908,10.893077641124728,1.5629542161256695
100,4.0,0.4226722111916499,0.0987821712053929,13.704338142574052,0.2788596829099959
100,4.0,0.19769972588846318,1.5103313364256152,6.410035537068269,4.263628875791344
100,4.0,0.4757186273108429,0.6713980840184561,15.424266740906928,1.8953405713919365
100,4.0,0.351929513887661,0.4186016577532925,11.410641468647128,1.181702367160654
100,4.0,0.31197701241153997,0.2754113190685814,10.115258012216888,0.7774795002794538
100,4.0,0.46158827103655753,0.08112038858255488,14.966116961171242,0.2290008972432054
100,4.0,0.26437140976770435,1.0732956534585156,8.571737385978404,3.0298877007856113
100,4.0,0.34063169400121485,0.7402352246574964,11.044331264431804,2.089666156432181
100,4.0,0.23101536428751457,1.2935401176636532,7.4902314003570085,3.651632502519364
100,4.0,0.24425474442268635,1.5660118328988588,7.919492982657256,4.420813572192836
100,4.0,0.2900824354964082,1.0710972671464134,9.405368226258117,3.0236817093356785
100,4.0,0.2674827550154024,0.9505033024604259,8.672616805594215,2.6832478603643795
100,4.0,0.22546141098496797,1.709846036976252,7.310155085731128,4.826854055522927
100,4.0,0.2920118736207926,0.6485714698064484,9.467926567643252,1.8309015909221311
100,4.0,0.27562680221895475,0.9284366603665859,8.936671961744425,2.620954262824577
100,4.0,0.30638871309002536,0.2666519275569712,9.934068093608238,0.7527519496536098
100,4.0,0.3863987744532289,0.4052745364679282,12.528241324533674,1.1440802257317881
100,4.0,0.3236890048796601,0.725400184620284,10.494996970342106,2.047787196795502
