filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P003_T8_PC11, 4, 10, 1, 20.0, 0.257, 73.270, 16.00, 2.69, 1.37, 748, 1.594, 0.813, 2.774, 11.00, 0.062, 0.565, 0.217
P003_T8_PC12, 4, 10, 1, 20.0, 0.382, 85.409, 24.00, 3.06, 2.03, 1137, 1.986, 0.896, 3.433, 11.00, 0.042, 0.380, 0.190
P003_T8_PC13, 4, 10, 1, 20.0, 0.546, 85.572, 14.00, 2.97, 1.49, 1680, 1.950, 0.902, 3.336, 33.00, 0.071, -0.272, 0.003
P003_T8_PC14, 4, 10, 1, 20.0, 0.618, 87.600, 23.00, 3.37, 2.30, 1715, 2.270, 0.918, 3.863, 28.00, 0.043, -0.051, 1.616
P003_T9_PC1, 4, 10, 1, 20.0, 9.589, 98.895, 137.00, 11.65, 17.80, 8553, 4.246, 0.996, 22.975, 171.00, 0.007, 38.841, 29.957
P003_T9_PC2, 4, 10, 1, 20.0, 0.951, 90.245, 46.00, 3.65, 3.54, 2470, 2.392, 0.956, 5.122, 42.00, 0.022, -0.178, 5.665
P003_T9_PC3, 4, 10, 1, 20.0, 3.489, 93.781, 71.00, 5.33, 6.88, 6447, 3.065, 0.970, 7.917, 134.00, 0.014, 1.531, 31.143
P003_T9_PC4, 4, 10, 1, 20.0, 1.051, 93.080, 51.00, 4.68, 5.04, 2197, 2.964, 0.971, 6.115, 64.00, 0.020, 0.080, 24.320
P003_T9_PC5, 4, 10, 1, 20.0, 1.846, 95.077, 43.00, 6.29, 6.59, 2933, 3.512, 0.977, 8.652, 75.00, 0.023, -2.873, 1.391
P003_T9_PC6, 4, 10, 1, 20.0, 1.436, 91.189, 56.00, 4.86, 6.05, 2829, 2.893, 0.962, 7.517, 62.00, 0.018, 2.535, 18.392
P003_T9_PC7, 4, 10, 1, 20.0, 0.524, 80.643, 40.00, 3.51, 3.46, 1267, 2.256, 0.878, 4.078, 37.00, 0.025, 0.056, -0.200
P003_T9_PC8, 4, 10, 1, 20.0, 0.366, 90.140, 18.00, 3.39, 2.03, 1021, 2.306, 0.941, 4.122, 19.00, 0.056, -0.387, 0.106
P003_T9_PC9, 4, 10, 1, 20.0, 0.462, 88.413, 32.00, 3.97, 4.49, 1082, 2.420, 0.929, 4.903, 43.00, 0.031, 0.007, 4.315
P003_T9_PC10, 4, 10, 1, 20.0, 1.095, 93.724, 46.00, 4.43, 4.02, 2436, 2.865, 0.967, 5.346, 24.00, 0.022, -0.134, 5.659
P003_T9_PC11, 4, 10, 1, 20.0, 0.663, 87.182, 18.00, 3.71, 2.46, 1636, 2.543, 0.941, 4.368, 20.00, 0.056, -0.991, 0.168
P003_T9_PC12, 4, 10, 1, 20.0, 0.464, 81.977, 23.00, 3.14, 2.08, 1275, 2.065, 0.910, 3.538, 16.00, 0.043, 0.234, -0.184
P003_T9_PC13, 4, 10, 1, 20.0, 0.651, 85.305, 29.00, 3.28, 2.33, 1779, 2.188, 0.921, 3.973, 23.00, 0.034, -0.644, 0.260
P003_T9_PC14, 4, 10, 1, 20.0, 0.589, 84.668, 22.00, 3.37, 2.32, 1552, 2.271, 0.901, 4.413, 22.00, 0.045, 0.126, 2.088
P004_T10_PC1, 4, 10, 1, 20.0, 13.102, 99.038, 158.00, 10.48, 16.32, 13055, 4.140, 0.993, 12.096, 115.00, 0.006, -19.474, -28.892
P004_T10_PC2, 4, 10, 1, 20.0, 0.257, 78.282, 16.00, 2.91, 1.76, 729, 1.847, 0.875, 3.418, 17.00, 0.062, -0.251, -0.283
P004_T10_PC3, 4, 10, 1, 20.0, 0.694, 83.978, 25.00, 3.71, 3.56, 1658, 2.341, 0.913, 3.884, 30.00, 0.040, 0.328, 0.045
